Submitting to OOPD,Observatory Of Programming Developments,Q2,20,50,30
testing public article - Q1 - 100 / 0 / 0,test,Q1,100,0,0
testing public article - Q2 - 100 / 0 / 0,test,Q2,100,0,0
testing public article - Q3 - 100 / 0 / 0,test,Q3,100,0,0
testing public article - Q4 - 100 / 0 / 0,test,Q4,100,0,0
testing public article - Q1 - 0 / 100 / 0,test,Q1,0,100,0
testing public article - Q2 - 0 / 100 / 0,test,Q2,0,100,0
testing public article - Q3 - 0 / 100 / 0,test,Q3,0,100,0
testing public article - Q4 - 0 / 100 / 0,test,Q4,0,100,0
testing public article - Q1 - 0 / 0 / 100,test,Q1,0,0,100
testing public article - Q2 - 0 / 0 / 100,test,Q2,0,0,100
testing public article - Q3 - 0 / 0 / 100,test,Q3,0,0,100
testing public article - Q4 - 0 / 0 / 100,test,Q4,0,0,100
